,TIMESTAMP,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PRICE,OPTION_TYPE,MARKET_TYPE,OPENING_PRICE,TRADE_HIGH_PRICE,TRADE_LOW_PRICE,CLOSING_PRICE,LAST_TRADED_PRICE,PREV_CLS,SETTLE_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,OPEN_INT,CHANGE_IN_OI,MARKET_LOT,UNDERLYING_VALUE,Ticker,Asset Type
2335,13-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5948,5979.25,5926.65,5936.55,5938.75,5941.4,5936.55,8389800,49978136987.5,13411150,70550,50,5932.95,NIFTY,Index
2336,13-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,5972,6008,5958,5965.6,5968.5,5970.5,5965.6,475850,2850451300,1708700,178450,50,5932.95,NIFTY,Index
2337,12-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,5977,6007.9,5966.5,6002.65,6001.75,5981.8,6002.65,66250,396366835,385450,41900,50,5922.5,NIFTY,Index
2338,12-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5911.55,5947.25,5903,5941.4,5941.85,5921.35,5941.4,6545850,38792279220,13340600,226350,50,5922.5,NIFTY,Index
2339,12-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,5944.55,5975.55,5935,5970.5,5971.95,5951.45,5970.5,233950,1392894480,1530250,70450,50,5922.5,NIFTY,Index
2340,11-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,5981.55,5995.35,5966.05,5981.8,5980,5983.95,5981.8,114300,683739832.5,343550,81900,50,5897.85,NIFTY,Index
2341,11-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5915,5937,5905,5921.35,5919.7,5921.8,5921.35,6052400,35837287820,13114250,112900,50,5897.85,NIFTY,Index
2342,11-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,5947.65,5965.75,5934.6,5951.45,5950.4,5948.75,5951.45,384900,2290246950,1459800,124800,50,5897.85,NIFTY,Index
2343,08-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,6018,6032.5,5960,5983.95,5977,6019.1,5983.95,109450,657363440,261650,67600,50,5903.5,NIFTY,Index
2344,08-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5960,5973.45,5900,5921.8,5913.25,5961.1,5921.8,8689150,51651599427.5,13001350,167750,50,5903.5,NIFTY,Index
2345,08-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,5989.65,6002.95,5913.9,5948.75,5946.95,5991.75,5948.75,400300,2387726357.5,1335000,127550,50,5903.5,NIFTY,Index
2346,07-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,6020,6053.05,6005,6019.1,6025.05,6035.05,6019.1,49050,295490227.5,194050,23800,50,5938.8,NIFTY,Index
2347,07-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5955,5992.45,5940.1,5961.1,5964,5972.9,5961.1,9256000,55196825835,12833600,-75650,50,5938.8,NIFTY,Index
2348,07-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,5991.8,6023.55,5975,5991.75,5995.45,6004.15,5991.75,322000,1930152145,1207450,57800,50,5938.8,NIFTY,Index
2349,06-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,6048.15,6057.45,6030.3,6035.05,6032,6038.65,6035.05,56500,341429152.5,170250,34400,50,5959.2,NIFTY,Index
2350,06-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5988.25,5993.65,5966.2,5972.9,5971.45,5974.45,5972.9,5598250,33478810067.5,12909250,-139250,50,5959.2,NIFTY,Index
2351,06-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,6020,6024.5,5998.15,6004.15,6003,6007.9,6004.15,176900,1063450112.5,1149650,45700,50,5959.2,NIFTY,Index
2352,05-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,6028.4,6056,6027.5,6038.65,6040,6059.2,6038.65,60850,367500122.5,135850,31400,50,5956.9,NIFTY,Index
2353,05-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5969.8,5993.1,5964.25,5974.45,5974.9,5996.3,5974.45,7603400,45443515265,13048500,-136050,50,5956.9,NIFTY,Index
2354,05-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,6003.85,6025,5999,6007.9,6008.4,6030.1,6007.9,197500,1186819765,1103950,14700,50,5956.9,NIFTY,Index
2355,04-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,6120,6123.5,6053.15,6059.2,6060.7,6094.4,6059.2,82850,504602682.5,104450,42200,50,,NIFTY,Index
2356,04-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,6050,6063.75,5990.3,5996.3,5994.4,6036.1,5996.3,7989550,48105729042.5,13184550,596600,50,,NIFTY,Index
2357,04-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,6087.5,6094.05,6024.4,6030.1,6030,6069.45,6030.1,268000,1622366542.5,1089250,19150,50,,NIFTY,Index
2358,01-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,6129,6139,6088.15,6094.4,6095,6158.35,6094.4,69800,426743375,62250,62250,50,5998.9,NIFTY,Index
2359,01-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,6068.95,6078,6026.6,6036.1,6038.05,6067.2,6036.1,6908000,41806400502.5,12587950,558950,50,5998.9,NIFTY,Index
2360,01-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,6099.2,6109.85,6060,6069.45,6070,6099.55,6069.45,208450,1268264775,1070100,29700,50,5998.9,NIFTY,Index
2361,31-Jan-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,6095.9,6105.9,6061,6067.2,6067,6094.9,6067.2,7732800,46976413290,12029000,2904700,50,6034.75,NIFTY,Index
2362,31-Jan-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,6123,6128.45,6094.35,6099.55,6099.5,6128.05,6099.55,234900,1434849885,1040400,89000,50,6034.75,NIFTY,Index
2363,31-Jan-2013,FUTIDX,NIFTY,31-Jan-2013,0,XX,N,6067.8,6067.8,6027.4,6037.25,6035.5,6060.3,6034.75,10385100,62773354595,7234550,-1616400,50,6034.75,NIFTY,Index
2364,30-Jan-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,6101.9,6111,6084,6094.9,6095,6089.3,6094.9,4124250,25149247255,9124300,1625600,50,6055.75,NIFTY,Index
2365,30-Jan-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,6137.85,6144.75,6120.5,6128.05,6125,6123.35,6128.05,100350,615267185,951400,29200,50,6055.75,NIFTY,Index
2366,30-Jan-2013,FUTIDX,NIFTY,31-Jan-2013,0,XX,N,6072,6076.15,6047.85,6060.3,6060,6049.4,6060.3,7608000,46117192512.5,8850950,-657950,50,6055.75,NIFTY,Index
2367,29-Jan-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,6109.8,6157,6083.1,6089.3,6090,6117.6,6089.3,5600550,34286691390,7498700,2118700,50,6049.9,NIFTY,Index
2368,29-Jan-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,6146.75,6192,6118.95,6123.35,6127.3,6151.65,6123.35,197550,1216423532.5,922200,72100,50,6049.9,NIFTY,Index
2369,29-Jan-2013,FUTIDX,NIFTY,31-Jan-2013,0,XX,N,6071,6120,6041.2,6049.4,6049.8,6077.2,6049.4,13206600,80311334515,9508900,-1366100,50,6049.9,NIFTY,Index
2370,28-Jan-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,6115.65,6129.75,6101.1,6117.6,6119.4,6111.3,6117.6,3685100,22539108685,5380000,1975250,50,6074.8,NIFTY,Index
